True Labels,Predicted Labels,Original Overviews
"Comedy, Drama","Comedy, Drama, Romance","Rachel is a quick-witted and lovable stay-at-home mom. Frustrated with the realities of preschool auctions, a lacklustre sex life and career that's gone kaput, she visits a strip club to spice up her marriage and meets McKenna, a stripper she adopts as her live-in nanny."
"Adventure, Drama, Western","Action, Adventure, Comedy, Drama, Western","Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster."
"Action, Science Fiction","Action, Science Fiction, Thriller","When once distant UFOs become a terrifying threat attacking Earth, a Marine staff sergeant and his team take it upon themselves to face the enemy and protect what remains of the planet."
Comedy,"Crime, Drama, Thriller","When Carol Vanstone, CEO of the technology company Zenotek, expresses her intention to close the Chicago branch, run by her brother Clay, he and his co-workers organize a Christmas party in an effort to impress a potential client and save their jobs. But the party gets out of control…"
Drama,"Drama, Romance","As the youngest of the family, Sam is haunted by the notion that someday he could become the last remaining survivor, all alone. On a family vacation at the beach, he meets the unconventional Tess, who carries her own secrets around with her and shows him how the present moment can win out over memories and anxiety about what’s yet to come."
Horror,"Horror, Thriller","Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late."
"Drama, Thriller","Crime, Drama, Thriller","During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court."
Comedy,"Comedy, Drama, Romance","Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye."
"Crime, Drama, Thriller","Crime, Drama, Thriller","In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family."
"Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","Rosetta and new arrival Chloe band together to try to break the garden fairies' legendary losing streak in the Pixie Hollow Games, a sports spectacle filled with pixie pageantry, fantastic fairy events and hilarious surprises."
Action,"Action, Comedy, Crime, Thriller","The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself do it as he reminds him of his youth."
"Drama, Romance","Drama, Romance","Based on Jane Austen's classic novel of the Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men."
"Comedy, Romance","Drama, Romance","Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men."
"Adventure, Animation, Comedy","Adventure, Animation, Comedy, Family, Fantasy",A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.
"Comedy, Family, Fantasy, Mystery, Thriller","Comedy, Horror","Workaholic Jim Evers and his wife/business partner Sara get a call one night from  a mansion owner, Edward Gracey, who wants to sell his house. Once the Evers family arrive at the mansion, a torrential thunderstorm of mysterious origin strands them with the brooding, eccentric Gracey, his mysterious butler, and a variety of residents both seen and unseen."
"Adventure, Family",Drama,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo."
"Action, Crime, Thriller","Action, Crime, Drama, Thriller","The quiet family life of Nels Coxman, a snowplow driver, is upended after his son's murder. Nels begins a vengeful hunt for Viking, the drug lord he holds responsible for the killing, eliminating Viking's associates one by one. As Nels draws closer to Viking, his actions bring even more unexpected and violent consequences, as he proves that revenge is all in the execution."
"Comedy, Drama, Romance","Comedy, Drama, Romance","Set in contemporary Hong Kong, several young people are searching for romance and struggling to learn the difference between lust and love in an adventure that takes them to the mainland where pleasure is much more readily available."
"Action, Horror, Science Fiction","Action, Horror, Science Fiction, Thriller","A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious."
"Crime, Drama","Comedy, Drama, Romance","In 1947, long-retired and near the end of his life, Sherlock Holmes grapples with an unreliable memory and must rely on his housekeeper's son as he revisits the still-unsolved case that led to his retirement."
"Comedy, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness."
"Action, Drama, Family","Adventure, Drama, Fantasy","Daniel, a fatherless teenager, arrives in Los Angeles and becomes the object of bullying by a gang of karate students when he strikes up a relationship with Ali, the gang leader’s ex-girlfriend, so Daniel asks Miyagi, a master of martial arts, to help him learn karate."
"Action, Family, Fantasy, Science Fiction","Action, Adventure, Animation, Fantasy, Science Fiction","After tragedy strikes, an unlikely young hero takes her rightful place among the Power Rangers to face off against the team's oldest archnemesis."
"Crime, Drama, Thriller",Drama,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin..."
"Comedy, Crime","Comedy, Crime","In an effort to avoid paying off a massive gambling debt to a notorious mobster in England, a couple flees to Los Angeles and hatch a jewel theft plot."
"Horror, Thriller","Horror, Thriller","Brothers John and Matt have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki, and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke, is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill."
"Action, Science Fiction","Action, Adventure, Science Fiction","Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet."
"Drama, Romance","Animation, Comedy, Drama, Family, Fantasy","Isolated on a remote property, 16-year-old Claudia finds her world transformed when a spirited girl named Grace wanders into her garden."
"Action, Adventure, Crime, Science Fiction, Thriller","Action, Adventure, Science Fiction, Thriller","The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie."
Animation,"Adventure, Animation, Comedy, Family, Fantasy","When falling coconuts keep everyone awake all night on vacation, Chip and Potato come up with a plan to help the family get a puggy good night's sleep!"
Comedy,"Drama, Romance","""Tachibana Yusen"" in a certain town. There is a public bath that Kasuko, who has extraordinary big breasts, inherited from her father. There are regular customers from my father's time, but young people and old people gathered for Kasuko's big breasts. However, it was decided to open a sports gym with a spa in the neighborhood, and as a countermeasure, he was considering new services with regular customers."
"Thriller, War","Action, Adventure, Thriller","Called to Rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. Navigating the capital's darkened streets, he races to a series of ominous encounters to keep the Vatican from being blown to bits."
"Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","Long, long ago, in a time of magic and dragons, there lived a girl named Rapunzel who had the most beautiful radiant hair the world had ever seen. But Rapunzel's life was far from wonderful. She lived as a servant to Gothel, a jealous, scheming witch who kept her hidden deep in a forbidding forest, guarded by the enormous dragon Hugo and surrounded by an enchanted glass wall. However, in a twist of fate, Rapunzel's discovery of a magic paintbrush leads her on a journey that will unravel a web of deception, bring peace to two feuding kingdoms, and ultimately lead her to love with the help of Penelope(TM), the least intimidating of dragons!"
"Drama, Family","Action, Crime, Drama, Thriller","The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith."
"Crime, Drama, Thriller","Horror, Mystery, Thriller","As the coronavirus upends their lives, two detectives doggedly pursue those responsible for an abduction they realize is part of a sinister pattern."
Horror,"Comedy, Horror, Thriller",Three young brothers are terrorized by an evil clown.
"Comedy, Romance","Comedy, Drama",We don't have an overview translated in English. Help us expand our database by adding one.
Thriller,"Drama, Thriller","A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn."
"Action, Animation, Mystery","Action, Adventure, Animation, Family, Fantasy","Kogoro's detective agency receives a mysterious phone call. Someone on the other end warns about a bomb and leaves behind a code, ""The Boy in Blue and The Blue Zebra, the rain from above ..."" If Conan can decipher the riddle, he can stop the bomb. An adventure begins for Conan and the Detective Boys, taking place at a soccer match between Hideo Akagi of the Tokyo Spirits and Ryusuke Higo of Big Osaka"
"Animation, Drama","Drama, Thriller","A successful farmyard revolution by the resident animals vs. the farmer goes horribly wrong when corrupt pigs hijack it for their personal gain.  Based on the socialist George Orwell’s novel “Animal Farm”, a critique of Stalinist authoritarianism."
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy",Bo Peep explains what happened to herself and her sheep between the events of Toy Story 2 and Toy Story 4.
Drama,"Comedy, Drama","Famed but tormented artist Vincent van Gogh spends his final years in Arles, France, painting masterworks of the natural world that surrounds him."
"Action, Science Fiction, Thriller","Action, Adventure, Science Fiction","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah."
Romance,"Comedy, Drama, Romance","When romance novelist Kate Smith suddenly gets writer's block as she's beginning the final installment of her international bestselling steamy Bed 'n Breakfast series, she'll do pretty much anything to get her groove back. Like sneak into a Tire Depot waiting room because her words flow there just like complimentary coffee-smooth, sweet, and scorchingly hot. She manages to fly under the radar until the rugged and charming mechanic, Miles Hudson, notices the quirky redhead slinking in and out of the employees only entrance. But she's way too intriguing to blow the whistle on. Doing a test-drive of her new book idea sounds like a much better option."
"Comedy, Drama",Drama,"The inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan Vokes. With very little money and no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with the racing elites. Their investment pays off as Dream rises through the ranks and becomes a beacon of hope in their struggling community."
"Comedy, Fantasy","Comedy, Drama","Awakened from a curse after 400 years, Sleeping Beauty (Sarah Hunter) marvels at the wonders of the new century. She falls in love with a famous architect who is working to restore the castle she once lived in, but finds there are enemies plotting against her. Giving in to her long pent-up sexual desires, Beauty cannot resist the lustful advances of both men and women and after 400 years, she's ready to explore everything and everyone!"
"Comedy, Drama, Fantasy","Comedy, Romance","A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results."
Romance,"Drama, Romance","Joon-soo learns that his friend Hee-gyu's sister Hee-jin has no where to go after being scammed, so he suggests living with him. The two start living together. They are close like brother and sister but they can never be that. The two start getting funny and Joon-soo can't go to sleep at the thought of Hee-jin sleeping just a wall away from him. Mi-na, Joon-soo's girlfriend notices Joon-soo changing and seduces Joon-soo at his house where Hee-jin is. Is it the girlfriend or the sister?"
Crime,"Crime, Drama, Thriller","When the boss of a yakuza clan in 1920s Osaka is assassinated, Oryu, his mistress, vows revenge. Her search for the killer takes her out of the city. The old boss' son proves a poor leader, only interested in Omitsu, his high-class girlfriend. Yajima, the second-in-command, is taking advantage of the situation to accumulate power for himself..."
"Action, Animation, Fantasy, TV Movie","Comedy, Horror",Teen Parisian superheroes Ladybug and Chat Noir visit New York on a field trip and discover that superheroes exist in the United States too.
"Comedy, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","After Darby Harper suffered a near-death experience as a child, she gained the ability to see ghosts. To combat the existential boredom of high school, she runs a side business counseling local spirits in her spare time. When an unexpected occurrence happens between Darby and Capri, the most popular girl at her high school, Darby reluctantly agrees to help her and in the process learns how to fit in with the living world again."
"Adventure, Animation, Comedy, Family, Fantasy, Science Fiction","Action, Adventure, Animation, Family, Fantasy","One day Doraemon, Nobita, Shizuka, Gian and Suneo were shooting a film as space heroes. When they were shooting the film in the open lot a boy called Aron comes and alerts them of aliens attacking his planet. They agree to help him by turning into real superheroes, but it isn't as easy as it looks."
Romance,"Drama, Romance","Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…"
"Drama, Thriller","Comedy, Drama, Romance",Take a peek at the life of an unhappy housewife who finds passionate love from her neighbor and how their affair brings them closer to fire.
"Action, Adventure, Animation, Family","Comedy, Fantasy","Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume."
"Comedy, Fantasy, Romance","Adventure, Comedy, Drama, Fantasy","Liang Qu is a chic, confident and cold but charming half cat, half human due to a magic spell and he has the ability to melt/heal broken hearts. He lives with Miao Xiao Wan, an honest, confident woman who's created an app that translates cats' sounds and language."
"Comedy, Romance","Drama, Romance","Nineteen-year-old, Jin-goo enjoys an erotic moment to himself while thinking about his pretty English tutor. Then one day, he is caught in the middle of an embarrassing moment and becomes awkward with her. However, this becomes an opportunity and she starts teaching him sex. Their replationship becomes an uncontrollable romance. However, she quits the tutoring and the relationship to get married.  Time goes on and Jin-goo is a grown up. He's used to thoughtless sex. However, his partner of benefit gets pregnant so he meets his future-mother-in-law to talk about marriage. However, she's so beautiful and sexy. He moves in with the in-laws but soon breaks out of the marrige due to his wife's fling. The mother-in-law doesn't know how to make it up to him for what her daughter has done. Jin-goo suggests something dangerous..."
Comedy,"Comedy, Drama, Romance","Three childhood friends - Elise, Sonia and Cecile - leave for a summer in the South of France to help clear Cecile’s holiday house before it is put up for sale. There, they soon become the prime targets of three horny young men, for whom these single forty-year-old women are much more attractive than girls their age."
"Comedy, Crime, Thriller","Crime, Drama, Thriller","In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story."
"Adventure, Animation, Family","Action, Adventure, Animation, Fantasy","Hiroshi and Misae have never been to a honeymoon trip to a foreign country. One day, Misae discovered an inexpensive and family-friendly holiday package to Australia and the Nohara family decided to make it their first honeymoon vacation.  Hiroshi gets kidnapped upon arrival to Australia, leaving Shinnosuke, Misae and others on a dangerous journey. It turns out that Hiroshi is the key to a secret treasure. The remaining members of the Nohara Family must rescue Hiroshi, while a mysterious masked man and treasure hunters from all over the world are after him. The struggle is among three different groups in this action-filled treasure hunting adventure."
"Animation, Family","Comedy, Drama, Family, Fantasy","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage."
"Drama, Mystery, Thriller","Crime, Drama, Thriller","Dr. Martin Blake, who has spent his life looking for respect, meets an 18-year-old patient named Diane, suffering from a kidney infection, and gets a much-needed boost of self-esteem. However, when her health starts improving, Martin fears losing her, so he begins tampering with her treatment, keeping Diane sick and in the hospital right next to him."
"Comedy, Crime, Mystery, Thriller","Drama, Thriller","Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past."
"Documentary, History",Documentary,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilot Buzz Aldrin.
Romance,"Drama, Romance","A beautiful woman is going to the island of Lesbos to rest, there she will meet two other beautiful young women and it will be great having sex with everyone."
"Drama, War","Action, Drama","The true story of Marine Corporal Megan Leavey, who forms a powerful bond with an aggressive combat dog, Rex. While deployed in Iraq, the two complete more than 100 missions and save countless lives, until an IED explosion puts their faithfulness to the test."
"Action, Crime, Thriller","Crime, Drama, Horror, Mystery, Thriller","The boredom of small town life is eating Bill Williamson alive. Feeling constrained and claustrophobic in the meaningless drudgery of everyday life and helpless against overwhelming global dissolution, Bill begins a descent into madness. His shockingly violent plan will shake the very foundations of society by painting the streets red with blood."
"Action, Crime, Drama","Crime, Drama, Thriller","A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson."
"Comedy, Drama","Comedy, Drama, Romance","Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse..."
"Horror, Thriller","Horror, Thriller","Ten years after he first ventured into the Further, Josh Lambert heads east to drop his son Dalton off at an idyllic, ivy-covered university. However, Dalton's college dream becomes a nightmare when the repressed demons of his past suddenly resurface."
"Horror, Mystery, Thriller","Horror, Mystery, Thriller","Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her. When her best friend Karla wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge."
"Animation, Comedy, Drama, Fantasy, Romance","Comedy, Drama, Romance","Hinako is a surf-loving college student who has just moved to a small seaside town. When a sudden fire breaks out at her apartment building, she is rescued by Minato, a handsome firefighter, and the two soon fall in love. Just as they become inseparable, Minato loses his life in an accident at sea. Hinako is so distraught that she can no longer even look at the ocean, but one day she sings a song that reminds her of their time together, and Minato appears in the water. From then on, she can summon him in any watery surface as soon as she sings their song, but can the two really remain together forever? And what is the real reason for Minato's sudden reappearance?"
"Action, Thriller","Action, Adventure, Thriller","When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster."
"Comedy, Drama, Romance","Comedy, Romance","A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge."
"Comedy, Drama, Music, Romance, War","Drama, Romance","Upon receiving his draft notice and leaving his family ranch in Oklahoma, Claude heads to New York and befriends a tribe of long-haired hippies on his way to boot camp."
Horror,"Action, Horror, Science Fiction, Thriller","Convinced of the final outcome, a team of scientists travels back in time to stop the spread of a virus turning men into zombified rapists through society and causes them to finally uncover the source of the deadly disease which causes them to attempt to stop it before it happens again."
"Comedy, Drama","Drama, Romance","A story about the complex connection with a brother who is based in Mexico, meant to be a metaphor of the relationship between neighboring countries America and Mexico."
"Action, Adventure, Documentary, Thriller",Documentary,"A multi-part documentary about the making of the Jurassic Park trilogy. Each part walks through the making of part of one of the films, including the hurricane during the shooting of the first film, and how advances in CGI for Jurassic Park helped change the world of special effects forever. All interviews for these retrospective documentaries come with comments from Spielberg, Johnston, Neill, Dern, Goldblum, the effects crews, the child actors, and Peter Stormare. This documentary is broken into five parts: Dawn of a New Era (25 min) Making Prehistory (20 min), the Next Step in Evolution (15 min), and the Third Adventure (25 min), Finding the Lost World (28 min), and Something Survived (16 min)."
"Adventure, Animation, Comedy, Family, Fantasy, TV Movie","Adventure, Animation, Comedy, Family, Fantasy","The film follows Hiccup and his young fellows accompanying their mentor, Gobber, on a quest to kill the legendary Boneknapper Dragon. An extra that accompanies the film ""How to Train Your Dragon""."
"Drama, Romance, War","Drama, Romance","Stig is a 15-year-old pupil of 37-year-old teacher Viola. He is attracted by her beauty and maturity while she is drawn to him by his youth and innocence, a godsent relief from her drunk and miserable husband."
"Action, Animation, Comedy","Adventure, Animation, Comedy, Family, Fantasy","The genin of Konoha are having a sports day filled with races, obstacle courses and of course the relay and the prize is a paid vacation for the winner. Unfortunately Naruto and his stomach are getting him into trouble again."
"Action, Thriller","Action, Crime, Drama, Thriller","After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners."
"Comedy, Crime, Drama","Drama, Romance, Thriller","On a small town college campus, a philosophy professor in existential crisis gives his life new purpose when he enters into a relationship with his student."
"Adventure, Comedy, Drama, Family, Fantasy","Animation, Comedy, Family, Fantasy",A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.
"Horror, Mystery, Thriller","Horror, Thriller","A group of people are trapped in an elevator high above Philadelphia, and one of them is the devil."
"Crime, Drama",Drama,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together."
"Drama, Romance","Drama, Romance","Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense"
"Horror, Science Fiction","Action, Adventure, Science Fiction","In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!"
"Comedy, Drama, Romance","Comedy, Drama, Romance","Frank and Lindsay—two emotionally-broken strangers—meet on the way to a destination wedding. Over the course of the weekend and against all odds, they find themselves drawn together even though they are initially repulsed by one another."
Horror,"Crime, Drama, Thriller","The only one survivor of a mysterious murderer that killed his wife, friends and the tourism guide who leaded them through a interdicted grotto, a boy become the only suspect to make the crime. He, however, claim for his innocence saying that your wife killed those people as she was possessed by an evil force. Refusing to talk to police officers who are in charge for the crime investigation, he asks for help to a nun."
"Drama, Music",Drama,"Recounts the last days of Jesus Christ from the perspective of Judas Iscariot, his betrayer. As Jesus' following increases, Judas begins to worry that Jesus is falling for his own hype, forgetting the principles of his teachings and growing too close to the prostitute Mary Magdalene. After Jesus has an outburst in a temple, Judas turns on him."
"Action, Animation, Science Fiction","Action, Adventure, Animation, Fantasy, Science Fiction","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family."
"Comedy, Crime","Comedy, Drama",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
"Action, Adventure, Science Fiction","Action, Comedy, Crime","Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission."
"Comedy, Drama, Romance","Comedy, Romance","Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good."
"Mystery, Thriller","Crime, Drama, Mystery, Thriller","A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician."
"Action, Thriller","Drama, Horror, Thriller",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
"Comedy, Romance","Comedy, Drama, Romance","After taking his dying father's advice, Hal dates only the embodiments of female physical perfection. But that all changes after Hal has an unexpected run-in with self-help guru Tony Robbins. Intrigued by Hal's shallowness, Robbins hypnotizes him into seeing the beauty that exists even in the least physically appealing women. Hal soon falls for Rosemary, but he doesn't realize that his gorgeous girlfriend is actually a 300-pound-not-so-hottie."
"Fantasy, Horror, Thriller","Horror, Thriller","A boating accident off the coast of Spain sends Paul and his girlfriend Barbara to the decrepit fishing village of Imboca. As night falls, people start to disappear and things not quite human start to appear. Paul is pursued by the entire town. Running for his life, he uncovers Imboca's secret..they worship Dagon, a monstrous god of the sea...and Dagon's unholy offspring are on the loose..."
"Action, Western","Action, Adventure, Thriller","In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself."
"Horror, Mystery, Thriller","Comedy, Drama, Romance","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives. Hilarity ensues."
"Action, Science Fiction","Action, Adventure, Thriller","A former intelligence agent gets involved with the first human clone, Seobok, who others seek, causing trouble."
"Action, Adventure, Drama, History, War","Drama, History, War","Richthofen goes off to war like thousands of other men. As fighter pilots, they become cult heroes for the soldiers on the battlefields. Marked by sportsmanlike conduct, technical exactitude and knightly propriety, they have their own code of honour. Before long he begins to understand that his hero status is deceptive. His love for Kate, a nurse, opens his eyes to the brutality of war."
"Action, Adventure, Animation, Crime, Mystery","Action, Thriller","Bombing case at Nichiuri TV in autumn. The Satsuki Cup, which crowns the winner of Japan's Hyakunin Isshu, is currently being filmed inside the facility. The incident results in a big commotion and, while the building is burning to ashes, the only people left inside are Hattori and Toyama Kazuha. They get rescued just in time by Conan , who rushes to the scene. Both the identity and purposes of the bomber are unknown."
"Adventure, Animation, Comedy, Family, Fantasy","Comedy, Family","The Care Bears have their work cut out for them, because Nicolas, a lonely magician's assistant, is about to fall under the evil influence of a bad spirit who lives in an ancient magic book -- it seems Nicolas will do just about anything for friends. Aside from Nicolas, Kim and Jason are in trouble because they are starting not to trust people after suffering many disappointments."
"Adventure, Drama, History",Drama,"This engrossing dramatization of the life of Abraham, the most tested servant of God and the father of Judaism, spans from the patriarch's quest for the Promised Land to the sacrifice of his son, Isaac."
"Drama, Mystery, Thriller","Crime, Drama, Mystery, Thriller","When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work."
"Comedy, Horror, Science Fiction","Comedy, Family, Fantasy","A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again."
"Crime, Drama, Romance","Drama, Horror, Thriller","Jeff Bailey seems to be a mundane gas station owner in remote Bridgeport, California. He is dating local girl Ann Miller and lives a quiet life. But Jeff has a secret past, and when a mysterious stranger arrives in town, Jeff is forced to return to the dark world he had tried to escape."
"Comedy, Science Fiction","Action, Science Fiction, Thriller","A terminally ill woman opts for a cloning procedure to ease her loss on her friends and family. When she makes a miraculous recovery, her attempts to have her clone decommissioned fail and lead to a court-mandated duel to the death."
Drama,"Comedy, Drama, Romance",A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.
